image,category,sub_category,name,price
https://e7.pngegg.com/pngimages/757/605/png-clipart-women-s-yellow-sleeveless-dress-dress-see-through-clothing-top-women-dress-tshirt-orange-thumbnail.png,women's fashion,kids,Yellow Sleveless dress,2436
https://png.pngtree.com/png-clipart/20190905/original/pngtree-beautiful-red-tube-top-dress-png-image_4508160.jpg,women's fashion,kids,red tube top dress,749
https://purepng.com/public/uploads/large/purepng.com-women-dressfashion-women-dress-cloth-apparelclothingwomen-dress-631522326940onrfa.png,women's fashion,kids,blue dress for kids,3020
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSm1B3aYhXNGgi7f9NsHgxDY9JZlNdqsCfQSA&s,women's fashion,kids,white dress for kids,4911
https://w7.pngwing.com/pngs/276/321/png-transparent-wedding-dress-gown-churidar-frock-dress-party-dress-girl-formal-wear-thumbnail.png,women's fashion,kids,full size yellow dress,3441
https://static.vecteezy.com/system/resources/previews/040/324/447/non_2x/ai-generated-kids-dress-isolated-on-transparent-background-free-png.png,women's fashion,kids,kids white dotted dress,1874
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTc4VDyCB91F1UHdhibaEHH_btYF0z9dU9Wlg&s,women's fashion,kids,kids yellow dress,2030
https://www.pngitem.com/pimgs/m/390-3906676_kids-clothes-png-transparent-png.png,women's fashion,kids,full sleeve frock,4895
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRVkoGWRA56urxkAcp0LtX-VETm1LaOzVKFmPD-3p7HGqRAUf9rW-HqtYswqQlMg2IF6Kk&usqp=CAU,women's fashion,kids,red frock,243
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSt8L__XM20wrYM6oZp-8M6Dmeb3RCHa1-tpA&s,women's fashion,adult,violet dress for women,3410
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRD0-0Va3YE2-HsYgAgkbpjofuRIM3hwsENOA&s,women's fashion,adult,white dress for adults,1888
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtjjaJwW1wc5T9vcBtHmBkMvd721F41Dhnlw&s,women's fashion,adult,flower dress,3086
https://png.pngtree.com/element_our/20190531/ourmid/pngtree-black-women-s-dress-image_1297552.jpg,women's fashion,adult,black dress,1836
https://freepngimg.com/thumb/dress/33155-3-floral-dress-thumb.png,women's fashion,adult,blue dress,110
https://www.pngitem.com/pimgs/m/533-5333122_2019-fashion-women-dress-o-neck-cashmere-casual.png,women's fashion,adult,o neck cashmere casual,2988
https://5.imimg.com/data5/QU/YF/MY-28770120/kids-wear-500x500.jpg,men's fashion,kids,woods apple boys cotton wear,2900
https://assets0.mirraw.com/images/11701916/image_long_webp.webp?1690455165,men's fashion,kids,Red kurta,2000
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSWgLOVfhrAOASybvpvSuJmFS_BXCsqdYEVew&s,men's fashion,kids,Blue white suit,3000
https://5.imimg.com/data5/BU/EJ/NF/SELLER-7424477/boys-wedding-wear-500x500.JPG,men's fashion,kids,Sherwani,4988
https://www.okboss.co.in/assets/img/home/boysrow1/kids%20musterd%20jacket%20with%20white%20tshirt%20party%20wear%20dress.jpg,men's fashion,kids,Yellow jacket outfit,4900
https://5.imimg.com/data5/SELLER/Default/2023/5/308660768/OY/DL/WM/100045607/boys-party-wear-dress-500x500.jpeg,men's fashion,kids,Casual party outfit,3699
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSmL83dWUvSkQKkOoy0SGdpym5HnMPIdQ6_6A&s,men's fashion,kids,Traditional outfit,1000
